i,time,loss,ce,kl,accuracy
0,1.8846755027770996,0.10582161694765091,0.09423544257879257,6.441699504852295,0.9630000591278076
100,12.440133333206177,0.06411527842283249,0.05619077757000923,4.405874252319336,0.9707499742507935
200,22.860217809677124,0.12578509747982025,0.11779309809207916,4.443401336669922,0.9757499694824219
300,33.434378147125244,0.10505831241607666,0.09723947942256927,4.3471269607543945,0.9772499799728394
400,43.87880229949951,0.09807483106851578,0.09083537757396698,4.025003433227539,0.9742500185966492
500,54.45421051979065,0.10440552234649658,0.09743130207061768,3.877537727355957,0.9755000472068787
600,64.79720139503479,0.09360966831445694,0.08650687336921692,3.9490230083465576,0.9722499847412109
700,75.37490463256836,0.07163046300411224,0.06432978063821793,4.059046268463135,0.9689999222755432
800,85.76340174674988,0.08724959194660187,0.08038317412137985,3.8176002502441406,0.9729999303817749
900,96.3680465221405,0.06962096691131592,0.06301657855510712,3.6719179153442383,0.9762499928474426
1000,106.80230140686035,0.1114867627620697,0.10345512628555298,4.465442180633545,0.9767500162124634
1100,117.39911222457886,0.08390884846448898,0.07675328850746155,3.9783577919006348,0.9739999175071716
1200,127.88640260696411,0.081488236784935,0.0746038556098938,3.827587366104126,0.9735000133514404
1300,138.46081042289734,0.09278377145528793,0.08590448647737503,3.824753522872925,0.9764999151229858
1400,148.819833278656,0.08222658187150955,0.07490362226963043,4.071431636810303,0.9644999504089355
1500,159.32711696624756,0.11257961392402649,0.10601278394460678,3.651034116744995,0.9767500162124634
1600,169.6529996395111,0.10707364976406097,0.0999983698129654,3.9337258338928223,0.9702500104904175
1700,180.19776058197021,0.06821440160274506,0.06207459047436714,3.413623332977295,0.968250036239624
1800,190.59239721298218,0.08846201747655869,0.08141789585351944,3.91640043258667,0.9802501201629639
1900,201.05785059928894,0.055703479796648026,0.04929520934820175,3.5628793239593506,0.9815000295639038
2000,211.50838446617126,0.09628602117300034,0.08960588276386261,3.714031457901001,0.9655000567436218
2100,222.1297459602356,0.06431668996810913,0.05798845365643501,3.518380641937256,0.9757500290870667
2200,232.46589732170105,0.07069715857505798,0.06368671357631683,3.897677421569824,0.9767500162124634
2300,243.07661271095276,0.08229993283748627,0.07528476417064667,3.9003050327301025,0.969249963760376
2400,253.39250349998474,0.06230544671416283,0.055360473692417145,3.8612771034240723,0.9700000286102295
2500,263.90209126472473,0.08349107950925827,0.07715928554534912,3.5203611850738525,0.9732499718666077
