i,time,loss,ce,kl,logp,qed,sas,accuracy,prec
0,10.272270917892456,                        0.225284144282341,0.021118801087141037,0.1207817792892456,                        0.17051665484905243,0.0008880820823833346,0.20719192922115326,                        0.9914062023162842,0.78125
25,19.45440649986267,                        0.21409234404563904,0.017787104472517967,0.12451493740081787,                        0.21674197912216187,0.001298863789997995,0.12502259016036987,                        0.995312511920929,0.84375
50,28.5091712474823,                        0.22644104063510895,0.01822786219418049,0.1215382069349289,                        0.06853096187114716,0.0024803965352475643,0.3191870450973511,                        0.9910156726837158,0.796875
75,37.6112003326416,                        0.20410385727882385,0.04030140861868858,0.12070131301879883,                        0.10088591277599335,0.0011271820403635502,0.14224179089069366,                        0.9921875596046448,0.828125
100,46.6421275138855,                        0.17851807177066803,0.03004264272749424,0.12083172053098679,                        0.061096858233213425,0.0013484916416928172,0.13039347529411316,                        0.9921875,0.8125
125,55.74291276931763,                        0.1999087929725647,0.020884567871689796,0.12151797860860825,                        0.1969444453716278,0.0014330068370327353,0.09457503259181976,                        0.9953124523162842,0.8125
150,64.7711615562439,                        0.17740628123283386,0.033546797931194305,0.12375622242689133,                        0.0630003809928894,0.001410232507623732,0.10573046654462814,                        0.9921874403953552,0.78125
175,73.83446764945984,                        0.22982200980186462,0.019790707156062126,0.11978472024202347,                        0.1185087263584137,0.001139398431405425,0.28099435567855835,                        0.9937500357627869,0.84375
200,82.86489391326904,                        0.19258791208267212,0.019078681245446205,0.12215371429920197,                        0.0834452286362648,0.0006817413377575576,0.18885278701782227,                        0.9917968511581421,0.84375
225,92.00247979164124,                        0.24724081158638,0.03924911469221115,0.12189596891403198,                        0.07551922649145126,0.0013690151972696185,0.311677485704422,                        0.9874999523162842,0.703125
250,101.02972388267517,                        0.17453360557556152,0.021302565932273865,0.1215190514922142,                        0.09388682246208191,0.0014509407337754965,0.11163473129272461,                        0.9933593273162842,0.78125
275,110.16800355911255,                        0.22630509734153748,0.025669950991868973,0.12195367366075516,                        0.15933626890182495,0.0011511343764141202,0.2034122198820114,                        0.9937499761581421,0.8125
300,119.20753359794617,                        0.1991874873638153,0.022157911211252213,0.12385693937540054,                        0.04618189111351967,0.002539035165682435,0.23173531889915466,                        0.989453136920929,0.8125
325,128.3184893131256,                        0.19835150241851807,0.03171617165207863,0.12495457381010056,                        0.1236015111207962,0.001586915459483862,0.11787623167037964,                        0.9917969107627869,0.78125
350,137.3567397594452,                        0.15151211619377136,0.019033607095479965,0.12203003466129303,                        0.05223003029823303,0.0012877160916104913,0.08300215750932693,                        0.987500011920929,0.765625
375,146.495215177536,                        0.19204378128051758,0.02465367317199707,0.12093237787485123,                        0.12020010501146317,0.0027252384461462498,0.13271072506904602,                        0.993359386920929,0.84375
400,155.5372235774994,                        0.23850685358047485,0.018456188961863518,0.12122911214828491,                        0.29750409722328186,0.00238221138715744,0.13054311275482178,                        0.9957031011581421,0.890625
425,164.6414234638214,                        0.23135975003242493,0.03965768963098526,0.12063644826412201,                        0.09719695150852203,0.0019402124453336,0.23827853798866272,                        0.991015613079071,0.8125
450,173.66901278495789,                        0.26340049505233765,0.03741160407662392,0.12401336431503296,                        0.058471523225307465,0.001041228766553104,0.3837501108646393,                        0.9902343153953552,0.734375
475,182.7980546951294,                        0.16360899806022644,0.01695217750966549,0.12364896386861801,                        0.06479580700397491,0.0009383550495840609,0.11399948596954346,                        0.9867187738418579,0.78125
500,191.83186292648315,                        0.140127032995224,0.013492804951965809,0.12148825079202652,                        0.04560239985585213,0.001601124182343483,0.07118991017341614,                        0.989453136920929,0.796875
525,200.91400814056396,                        0.2741268277168274,0.02726021409034729,0.12512752413749695,                        0.09039261192083359,0.0013012188719585538,0.41837599873542786,                        0.9937500357627869,0.796875
550,209.94372272491455,                        0.20483539998531342,0.015995264053344727,0.12198155373334885,                        0.1552829146385193,0.0025053806602954865,0.16672493517398834,                        0.9906250238418579,0.84375
575,219.0352599620819,                        0.17535868287086487,0.03182177618145943,0.1206616759300232,                        0.08581343293190002,0.0013129997532814741,0.08967572450637817,                        0.9929687976837158,0.78125
600,228.06918168067932,                        0.13481765985488892,0.014456736855208874,0.12066090106964111,                        0.038975946605205536,0.002168320119380951,0.05840654671192169,                        0.9886718988418579,0.71875
625,237.1849081516266,                        0.15146850049495697,0.0231134295463562,0.12146610021591187,                        0.048200108110904694,0.0008164652972482145,0.07516839355230331,                        0.987500011920929,0.71875
650,246.2308428287506,                        0.15379497408866882,0.021618615835905075,0.12300579249858856,                        0.060734450817108154,0.0010341277811676264,0.0713048130273819,                        0.9898437261581421,0.75
675,255.37469959259033,                        0.23228919506072998,0.016116496175527573,0.12247952073812485,                        0.205229252576828,0.0008879905217327178,0.20825958251953125,                        0.9925780892372131,0.765625
700,264.43649792671204,                        0.1643572449684143,0.02793060801923275,0.11887768656015396,                        0.10973889380693436,0.00080626190174371,0.04701606556773186,                        0.9902343153953552,0.71875
725,273.51808762550354,                        0.1511835902929306,0.01769970916211605,0.12010855227708817,                        0.07726578414440155,0.0012697370257228613,0.0661393404006958,                        0.9917967915534973,0.8125
750,282.5776205062866,                        0.22017857432365417,0.023885853588581085,0.12081276625394821,                        0.13915859162807465,0.0017049094894900918,0.21141363680362701,                        0.9941405653953552,0.796875
775,291.7015233039856,                        0.2548478841781616,0.02497616782784462,0.11813835054636002,                        0.17199692130088806,0.0018156077712774277,0.2970806360244751,                        0.9945312142372131,0.875
800,300.74401569366455,                        0.21606412529945374,0.026251589879393578,0.12312335520982742,                        0.25560262799263,0.002001251792535186,0.06729615479707718,                        0.9890625476837158,0.765625
825,309.88819456100464,                        0.1784193366765976,0.03133479878306389,0.12562529742717743,                        0.0862933099269867,0.0022274579387158155,0.08769778907299042,                        0.9937500357627869,0.828125
850,318.95041155815125,                        0.2282467782497406,0.039224885404109955,0.12230594456195831,                        0.21431571245193481,0.001749783637933433,0.10824254155158997,                        0.9945312738418579,0.84375
875,328.09312891960144,                        0.20040643215179443,0.024595391005277634,0.12191936373710632,                        0.16838139295578003,0.0009583683568052948,0.11189860850572586,                        0.98828125,0.75
900,337.18312311172485,                        0.18876859545707703,0.019873568788170815,0.12201378494501114,                        0.14246860146522522,0.0007944186800159514,0.11468589305877686,                        0.9898437261581421,0.78125
925,346.27181816101074,                        0.1789129376411438,0.022774184122681618,0.12014827877283096,                        0.12861351668834686,0.002097150543704629,0.0893811360001564,                        0.9941405653953552,0.84375
950,355.2972812652588,                        0.15901635587215424,0.03631993755698204,0.1229175478219986,                        0.04599270597100258,0.0008215918787755072,0.05487985163927078,                        0.9937499761581421,0.8125
975,364.3997440338135,                        0.24219030141830444,0.03477928787469864,0.12374988943338394,                        0.05907558649778366,0.001075250213034451,0.3218444585800171,                        0.9906250238418579,0.6875
1000,373.4388427734375,                        0.22809407114982605,0.04618353769183159,0.1278778314590454,                        0.07873387634754181,0.0014775858726352453,0.20646236836910248,                        0.991406261920929,0.8125
1025,382.5043122768402,                        0.18159174919128418,0.027478525415062904,0.12130853533744812,                        0.13822825253009796,0.0011398440692573786,0.0710713118314743,                        0.9882813096046448,0.75
1050,391.51953887939453,                        0.2047882229089737,0.022911325097084045,0.12577678263187408,                        0.1610107719898224,0.0015513887628912926,0.12925219535827637,                        0.993359386920929,0.796875
1075,400.57681131362915,                        0.2379172444343567,0.03026130422949791,0.1283988356590271,                        0.15775518119335175,0.0013963409001007676,0.2120378613471985,                        0.991406261920929,0.84375
1100,409.58155965805054,                        0.16776709258556366,0.020407915115356445,0.12038087099790573,                        0.06485577672719955,0.0010097604244947433,0.12437955290079117,                        0.9871094226837158,0.71875
1125,418.65119647979736,                        0.17617736756801605,0.025895198807120323,0.12338900566101074,                        0.05243297666311264,0.0018147144000977278,0.13822034001350403,                        0.9906249642372131,0.765625
1150,427.64308619499207,                        0.15628862380981445,0.01585046760737896,0.12181547284126282,                        0.08057352900505066,0.0009248650167137384,0.0820901095867157,                        0.990234375,0.75
1175,436.6965527534485,                        0.16478867828845978,0.03173825889825821,0.1232319101691246,                        0.04684597998857498,0.0012035677209496498,0.0873720794916153,                        0.993359386920929,0.796875
1200,445.703182220459,                        0.1741465926170349,0.02227681688964367,0.11876185983419418,                        0.057253267616033554,0.0009363803546875715,0.1511382907629013,                        0.989062488079071,0.765625
1225,454.78794860839844,                        0.25226524472236633,0.019437776878476143,0.12447826564311981,                        0.16972403228282928,0.0015827070455998182,0.29358917474746704,                        0.992968738079071,0.828125
1250,463.7910406589508,                        0.22018948197364807,0.022858669981360435,0.12106525897979736,                        0.2036915421485901,0.0014149266062304378,0.14999975264072418,                        0.9906249642372131,0.796875
1275,472.8307409286499,                        0.1884927749633789,0.02421814762055874,0.1231176033616066,                        0.11068864911794662,0.0024955947883427143,0.1266038417816162,                        0.9945312738418579,0.84375
1300,481.844033241272,                        0.14033019542694092,0.015037966892123222,0.12076572328805923,                        0.05559998378157616,0.001512500224635005,0.058613963425159454,                        0.994921863079071,0.8125
1325,490.9538767337799,                        0.15360333025455475,0.022234616801142693,0.11926703155040741,                        0.06979596614837646,0.0016773110255599022,0.06825486570596695,                        0.992968738079071,0.78125
1350,499.9420359134674,                        0.2021467536687851,0.04784778133034706,0.12295783311128616,                        0.09884002059698105,0.0013601920800283551,0.10673508793115616,                        0.9925781488418579,0.875
1375,509.00660371780396,                        0.19692417979240417,0.012980329804122448,0.12153235822916031,                        0.09690020978450775,0.0013216105289757252,0.21109342575073242,                        0.9898437261581421,0.796875
1400,518.0036442279816,                        0.15628093481063843,0.020263593643903732,0.1215178519487381,                        0.04940009489655495,0.0016939627239480615,0.09850241243839264,                        0.9921875,0.78125
1425,527.0704207420349,                        0.18944042921066284,0.019405538216233253,0.12221202999353409,                        0.12382213771343231,0.0009882042650133371,0.13644252717494965,                        0.9910155534744263,0.859375
1450,536.1243977546692,                        0.21560877561569214,0.03083821013569832,0.12604695558547974,                        0.055901382118463516,0.0011363864177837968,0.24374672770500183,                        0.9917969107627869,0.859375
1475,545.1976132392883,                        0.19215603172779083,0.014568770304322243,0.12176336348056793,                        0.05861528217792511,0.0015713453758507967,0.2273624837398529,                        0.9917968511581421,0.828125
1500,554.2193315029144,                        0.22410723567008972,0.03486093506217003,0.12354056537151337,                        0.11962887644767761,0.0017715578433126211,0.20056916773319244,                        0.98828125,0.71875
1525,563.2565720081329,                        0.21047620475292206,0.021886369213461876,0.12103358656167984,                        0.1759648323059082,0.0017378681804984808,0.14834611117839813,                        0.9874999523162842,0.71875
1550,572.2658624649048,                        0.20622292160987854,0.027785610407590866,0.12737517058849335,                        0.09084264934062958,0.0022434177808463573,0.1832670420408249,                        0.994140625,0.84375
1575,581.3367872238159,                        0.1658187210559845,0.021219391375780106,0.12262622267007828,                        0.031094208359718323,0.0017129038460552692,0.14262507855892181,                        0.993359386920929,0.84375
1600,590.3388795852661,                        0.17633776366710663,0.014855069108307362,0.1225300282239914,                        0.08448634296655655,0.0024194312281906605,0.14504478871822357,                        0.9910155534744263,0.734375
1625,599.4071137905121,                        0.15999969840049744,0.03233324736356735,0.12250421196222305,                        0.07281564921140671,0.0013387512881308794,0.045139867812395096,                        0.98828125,0.734375
1650,608.4237596988678,                        0.1536998599767685,0.01583319529891014,0.11858251690864563,                        0.09007613360881805,0.001261881086975336,0.07176124304533005,                        0.9906250238418579,0.859375
1675,617.4814064502716,                        0.14934612810611725,0.010372589342296124,0.11829163134098053,                        0.07326490432024002,0.001364565803669393,0.0928865447640419,                        0.9867187738418579,0.828125
1700,626.492623090744,                        0.1486014425754547,0.02024097926914692,0.12243027985095978,                        0.035174962133169174,0.0016196537762880325,0.08499790728092194,                        0.9886718392372131,0.75
1725,635.5496373176575,                        0.17474035918712616,0.037909429520368576,0.12623971700668335,                        0.07071561366319656,0.0023530051112174988,0.06743516027927399,                        0.9910156726837158,0.75
1750,644.5470178127289,                        0.15574628114700317,0.01942848041653633,0.11734314262866974,                        0.07114313542842865,0.0012162463972344995,0.08867544680833817,                        0.9890624284744263,0.703125
1775,653.6175689697266,                        0.24320340156555176,0.03866105154156685,0.12378905713558197,                        0.13235224783420563,0.0032912157475948334,0.23669174313545227,                        0.9925780892372131,0.8125
1800,662.632155418396,                        0.23801156878471375,0.029198262840509415,0.1248989999294281,                        0.1686277538537979,0.0012100787134841084,0.2139589786529541,                        0.993359386920929,0.8125
1825,671.6587722301483,                        0.16258643567562103,0.016965845599770546,0.12234359979629517,                        0.07145856320858002,0.0010453539434820414,0.10703905671834946,                        0.9816405773162842,0.734375
1850,680.6644508838654,                        0.26570188999176025,0.02080991305410862,0.1222945973277092,                        0.14776813983917236,0.0018141495529562235,0.3609877824783325,                        0.991015613079071,0.859375
1875,689.7501938343048,                        0.17322856187820435,0.018116123974323273,0.12322015315294266,                        0.07102511078119278,0.0011734014842659235,0.13679254055023193,                        0.9898437261581421,0.703125
1900,698.7625591754913,                        0.18854446709156036,0.015758205205202103,0.1221737265586853,                        0.07473490387201309,0.0024985841009765863,0.19328640401363373,                        0.991406261920929,0.8125
